Site,AESC number,Name,Address,Local,Area,Emirates,Type,Coordinate,Email,Phone,"H/L, E/M, D",Insta,Talabat,Noon,ElGrocer,Store Size SqFt,Open Date,Pront Grab&Go,Price Zone,With Expo stand,Opening Hour,Approval 
6555,AE5555,ZOOM Standalone - Bay Central,"Bay Central, Bay Central, Al Sufouh Rd, Dubai Marina",Dubai Marina,New Dubai,Dubai,Standalone,"25°04'41.7""N 55°08'15.2""E",zom06555@eppcouae.com,04 - 5586083,H/L,InstaShop - Last Mile,Talabat,,El Grocer,"2,281.12",19-Aug-15,Grab&Go,C-35/Z-2,No,7:00am-11:00pm,Extra
6562,AE5562,ZOOM Market - Burj Al-Salam,"Burj Al Salam, 6 St, SZR",Trade Centre,New Dubai,Dubai,Standalone,"25°13'47.4""N 55°17'11.6""E",zom06562@eppcouae.com,04 - 2877572,H/L,InstaShop - Last Mile,Talabat,,,"1,032.96",13-Sep-15,Grab&Go,C-35/Z-2,No,24 Hour,Extra
6568,AE5568,ZOOM Market - Burj Khalifa (Dubai Mall),"Burj Khalifa, Dubai",Downtown Dubai,New Dubai,Dubai,Standalone-BK,"25°11'48.8""N 55°16'27.3""E",zom06568@eppcouae.com,04 - 3382845,H/L,InstaShop,,,,"1,151.32",02-May-15,Grab&Go,C-35/Z-5,yes,6:00am-12:00am,Extra
6573,AE5573,ZOOM Market - Marina Tower Dubai Marina,"Marina Tower, Dubai Marina",Dubai Marina,New Dubai,Dubai,Standalone,"25°05'01.0""N 55°08'43.1""E",zom06573@eppcouae.com,04 - 3682070,H/L,InstaShop - Last Mile,Talabat,Noon,,"3,292.56",25-Jan-17,Pronto-Digital Menu,C-35/Z-2,No,7:00am-11:00pm,Extra
6578,AE5578,ZOOM Market - Burj Gate 48,"48 Burj Gate, Rd E-11, SZR",Downtown Dubai,New Dubai,Dubai,Standalone,"25°12'01.4""N 55°16'07.7""E",zom06578@eppcouae.com,04 - 5531048,H/L,InstaShop - Last Mile,Talabat,,,"1,499.41",03-Jul-16,Pronto,C-35/Z-2,No,7:00am-1:00am,Extra
6583,AE5541,ZOOM Market - Regal Tower - Business Bay Dubai,Business Bay,Business Bay,New Dubai,Dubai,Standalone,"25°11'12.7""N 55°15'37.8""E",zom06583@eppcouae.com,04 - 5148962,H/L,InstaShop - Last Mile,Talabat,,El Grocer,"2,317.38",17-Feb-16,Pronto,C-35/Z-2,No,"7:00am-7:00pm, (Fri-Closed)",Extra
6584,AE5542,ZOOM Market - Abraj Al Mamzar,"Abraj Al Mamzar, 54 St, Dubai",Mamzar,Old Dubai,Dubai,Standalone,"25°17'13.2""N 55°21'26.6""E",zom06584@eppcouae.com,04 - 2690829,H/L,InstaShop - Last Mile,Talabat,,El Grocer,"1,657.90",30-Nov-15,Grab&Go,C-35/Z-2,No,6:00am-12:00am,Extra
6585,AE5543,ZOOM Market - Opal Tower - Business Bay,Business Bay,Business Bay,New Dubai,Dubai,Standalone,"25°11'07.0""N 55°16'31.3""E",zom06585@eppcouae.com,04 - 2766019,H/L,InstaShop - Last Mile,,,,"1,527.92",11-May-16,Pronto,C-35/Z-2,No,"7:00am-11:00pm, (Fri-Closed)",Extra
6586,AE5544,ZOOM Market - The One Tower - Tecom,"One Tower, Tecom",Barsha Height,New Dubai,Dubai,Standalone,"25°06'05.9""N 55°10'25.2""E",zom06586@eppcouae.com,04 - 5588274,H/L,InstaShop - Last Mile,Talabat,Noon,,"6,100.92",05-Sep-16,Pronto-Digital Menu,C-35/Z-2,No,7:00am-11:00pm,Extra
6593,AE5583,ZOOM Market - Zabeel Rove Hotel,"ROVE Hotel, Zabeel",Zabeel,New Dubai,Dubai,Standalone-Rove,"25°12'09.6""N 55°16'45.0""E",zom06593@eppcouae.com,056 - 5051246,H/L,InstaShop,Talabat,,,"1,291.20",27-Apr-16,Pronto-Digital Menu,C-35/Z-4,yes,24 Hour,Extra
6594,AE5584,ZOOM Market - Oud Metha Rove Hotel,"ROVE Hotel, Oud Metha",Oud Metha,Old Dubai,Dubai,Standalone-Rove,"25°14'02.7""N 55°18'51.5""E",zom06594@eppcouae.com,04 - 4309375,H/L,InstaShop - Last Mile,,,,"1,315.19",01-Feb-17,Pronto-Digital Menu,C-35/Z-4,No,6:00am-1:00am,Extra
6613,AE7013,ZOOM - Up Tower,"Up Tower, Rd E-11, SZR",Trade Centre,New Dubai,Dubai,Standalone,"25°13'00.4""N 55°16'49.2""E",zom06613@eppcouae.com,04 - 3598666,Franchaise,InstaShop,,,,519.82,21-Jun-16,,C-35/Z-2,No,24 Hour,Extra
