Domain,Location on Site,Tech Spend USD,Sales Revenue USD,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,TikTok,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,Exclusion,Compliance
tennessean.com,tennessean.com,$5000,,Local Inc,Business And Industrial,1968,5081,2242,132225,ph:+1-615-259-8300;+1-800-952-5210;+1-800-342-8237;+1-800-778-7879,sbarchenger@tennessean.com;customer@tennessean.com;mdevarenne@tennessean.com;jhensley@tennessean.com;dammenheus@tennessean.com;dgang@tennessean.com;bgoad@tennessean.com;dplazas@tennessean.com;mprouse@tennessean.com;mragland@tennessean.com;aallison@tennessean.com;nallison@tennessean.com;nalund@tennessean.com;mbalakit@tennessean.com;jbliss@tennessean.com;dboucher@tennessean.com;jbuie@tennessean.com;jgarrison@tennessean.com;jagonzales@tennessean.com;dhughes@tennessean.com;ahumbles@tennessean.com;yjeong@tennessean.com;brett.kelman@tennessean.com;hmeyer@tennessean.com;mreicher@tennessean.com;atamburin@tennessean.com;jtodd1@tennessean.com;awadhwani@tennessean.com;erwest@tennessean.com;lalfs@tennessean.com;smazza@tennessean.com;jmcgee@tennessean.com;nrau@tennessean.com;mscheap@tennessean.com;dnpaulson@tennessean.com;brad@tennessean.com;jthanki@tennessean.com;ciwatts@tennessean.com;tkreager@tennessean.com;mfmurphy@tennessean.com;morgan@tennessean.com;asparks@tennessean.com;avingan@tennessean.com;eatkins@tennessean.com;smays@tennessean.com;lmccormack@tennessean.com;anelles@tennessean.com;rarogers@tennessean.com;gwalker@tennessean.com;jbuitrago@tennessean.com;jcardenas@tennessean.com;selliott@tennessean.com;jdgarcia@tennessean.com;kgrigsby@tennessean.com;btminges@tennessean.com;kprocter@tennessean.com;mschwab@tennessean.com;kstarling@tennessean.com;memery@tennessean.com;hfritz@tennessean.com;awigdor@tennessean.com;manastasi@tennessean.com;mhoerr@tennessean.com;gestes@tennessean.com;jwharmon@tennessean.com,https://twitter.com/tennessean,https://facebook.com/tennessean,,,https://pinterest.com/thetennessean,,https://instagram.com/tennesseannews,,,,,N/A - Director - n/a@tennessean.com; N/A - Board - n/a@tennessean.com; N/A - President - n/a@tennessean.com; N/A - Csuite - n/a@tennessean.com,Nashville,TN,37203,US,05-06-2011,19-06-2022,03-01-2011,19-06-2022,-,-
theadvocate.com,theadvocate.com,$5000,,Capital City Press LLC,Education,544,299959,3849,119986,ph:+1-225-383-0111;+1-504-636-7400;+1-504-636-7408;+1-866-698-0200;+1-800-960-6397;+1-225-281-8428;+1-504-559-3899;+1-614-570-3442;+1-504-469-6165;+1-225-383-1111,ecouvillion@theadvocate.com;clussier@theadvocate.com;smickles@theadvocate.com;msigur@theadvocate.com;romiller@theadvocate.com;avanacore@theadvocate.com;rthompson@theadvocate.com;cfutch@theadvocate.com;lrose@theadvocate.com;agallo@theadvocate.com;shardy@theadvocate.com;hkinchen@theadvocate.com;sward@theadvocate.com;rwalker@theadvocate.com;pgannon@theadvocate.com;kmcquarn@theadvocate.com;jbergeron@theadvocate.com;florida@theadvocate.com;bcolvin@theadvocate.com;qhillyer@theadvocate.com;subscriberservices@theadvocate.com;pkovacs@theadvocate.com;fkalmbach@theadvocate.com;jbrown@theadvocate.com;newstips@theadvocate.com;kwhitfield@theadvocate.com;rdellenger@theadvocate.com;srabalais@theadvocate.com;tbridges@theadvocate.com;kataylor@theadvocate.com;froberts@theadvocate.com;nunderhill@theadvocate.com;gmorris@theadvocate.com;cgrueskin@theadvocate.com;bstole@theadvocate.com;akwhitfield@theadvocate.com,https://twitter.com/theadvocatebr,https://facebook.com/theadvocatebr,,,,,https://instagram.com/theadvocatebr,,,,,N/A - Other - n/a@theadvocate.com; N/A - Marketing - n/a@theadvocate.com; N/A - Sales - n/a@theadvocate.com; N/A - Director - n/a@theadvocate.com; N/A - Manager - n/a@theadvocate.com,Baton Rouge,LA,70817,US,21-05-2014,14-06-2022,02-01-2005,17-06-2022,-,-
thefreedictionary.com,thefreedictionary.com,$500,,Farlex Inc,Business And Industrial,577,2035,678,6333,ph:,deanjdibeatty@thefreedictionary.com,,,,,,,,,,,,N/A - Unknown - noemail,Feasterville Trevose,PA,19053,US,16-02-2018,03-01-2022,21-10-2003,19-06-2022,-,-
thekrazycouponlady.com,thekrazycouponlady.com,$2000,,Krazy Coupon Lady LLC,Shopping,54,13631,28255,33694,ph:,inquiries@thekrazycouponlady.com;press@thekrazycouponlady.com,https://twitter.com/krazycouponlady,https://facebook.com/thekrazycouponlady,,,https://pinterest.com/krazycouponlady,,https://instagram.com/thekrazycouponlady,,,https://youtube.com/user/thekrazycouponlady,,N/A - Founder - noemail,,,,,03-01-2022,21-03-2022,19-12-2009,15-06-2022,-,-
thepennyhoarder.com,thepennyhoarder.com,$2000,,The Penny Hoarder,Finance,2126,301226,14472,26327,ph:,askkyle@thepennyhoarder.com;media@thepennyhoarder.com;advertise@thepennyhoarder.com;editor@thepennyhoarder.com;press@thepennyhoarder.com;feedback@thepennyhoarder.com;support@thepennyhoarder.com,https://twitter.com/thepennyhoarder,https://facebook.com/thepennyhoarder,https://linkedin.com/company/thepennyhoarder,,https://pinterest.com/thepennyhoarder,,https://instagram.com/thepennyhoarder,,,,,N/A - President - noemail; N/A - Founder - noemail; N/A - Other - noemail,Pompano Beach,FL,33062,US,21-05-2014,14-06-2022,15-12-2010,18-06-2022,-,-
theringer.com,theringer.com,$500,,The Ringer,Art And Entertainment,2052,6623,4917,22008,ph:+1-916-445-1254;+1-800-952-5210,editors@theringer.com;legal@theringer.com,https://twitter.com/ringer,https://facebook.com/ringer,,,,,,,,,,,Los Angeles,CA,90028,US,29-12-2018,16-05-2022,23-11-2005,18-06-2022,-,California CCPA
theroot.com,theroot.com,$1000,,Univision Communications Inc,Law  Govt And Politics,2180,9849,3983,28056,ph:+1-646-495-4018;+1-202-223-0671;+1-212-455-5200;+1-310-348-3679,custhelp-root@theroot.com;readerfeedback@theroot.com;submissions@theroot.com;press@theroot.com;danielle.belton@theroot.com;genetta.adams@theroot.com;yesha.callahan@theroot.com;breanna.edwards@theroot.com;dyoung@theroot.com,https://twitter.com/theroot,https://facebook.com/theroot,,,https://pinterest.com/theroot,,,,,,,,Washington,DC,20036,US,16-12-2015,19-06-2022,27-03-2004,19-06-2022,-,-
theverge.com,theverge.com,$5000,,The Verge,Technology And Computing,59,312,160,6766,ph:+1-202-591-1140;+1-800-549-1744;+1-800-952-5210;+1-800-862-2877,nilay@theverge.com;joshua@theverge.com;james.chae@theverge.com;ontheverge@theverge.com;rsvp@theverge.com;david@theverge.com;paul@theverge.com;charlesiii@theverge.com;dieter@theverge.com;tom@theverge.com;dan.seifert@theverge.com;pine.lnx.4.10.9910261337380.7863-100000@theverge.com;pine.lnx.4.04.9910290910200.16607-100000@theverge.com;sean@theverge.com;laura@theverge.com;aaron@theverge.com;chris@theverge.com;bryan@theverge.com;casey@theverge.com;tc@theverge.com;zoe@theverge.com,https://twitter.com/verge,https://facebook.com/verge,,,https://pinterest.com/theverge,,https://instagram.com/verge,,,https://youtube.com/user/theverge,,N/A - Bizdev - n/a@theverge.com; N/A - Software - n/a@theverge.com; N/A - Marketing - n/a@theverge.com; N/A - Director - n/a@theverge.com; N/A - Manager - n/a@theverge.com; N/A - President - n/a@theverge.com; N/A - Csuite - n/a@theverge.com; N/A - Founder - n/a@theverge.com,Washington,DC,20036,US,20-12-2018,03-01-2022,11-09-2011,19-06-2022,-,-
thinkprogress.org,thinkprogress.org,$500,,Thinkprogress.org Inc,Technology And Computing,5919,712,1669,Outside Top 1m,ph:,borahderatecrowe@thinkprogress.org;carolinaheadwallcody@thinkprogress.org;faiz@thinkprogress.org;deborahderatecrowe@thinkprogress.org;annettebullyboygorman@thinkprogress.org;rosariovetlackey@thinkprogress.org;arronxiwhitney@thinkprogress.org;cleanstart@thinkprogress.org;tips@thinkprogress.org;harleynoteworthyskinner@thinkprogress.org;rileygeneticayers@thinkprogress.org;eylee@thinkprogress.org;jisrael@thinkprogress.org;avarkiani@thinkprogress.org;general@thinkprogress.org;membership@thinkprogress.org,https://twitter.com/thinkprogress,https://facebook.com/thinkprogress,,,,,https://instagram.com/thinkprogress,,,,,N/A - Director - n/a@thinkprogress.org; N/A - Manager - n/a@thinkprogress.org,Washington,DC,20005,US,30-05-2013,06-06-2022,30-09-2005,15-06-2022,-,-
tiebreaker.com,tiebreaker.com,$50,,Novelty Magazines Ltd,Sports,543,441805,418255,87839,ph:,contact@tiebreaker.com,https://twitter.com/tiebreakermedia,https://facebook.com/tiebreakermedia,,,https://pinterest.com/tiebreakermedia,,https://instagram.com/tiebreakermedia,,,,,,La Jolla,CA,92037,US,29-11-2017,16-05-2022,02-01-2007,14-06-2022,-,California CCPA
today.com,today.com,$10000,,TODAY.com,Technology And Computing,582,796,554,12323,ph:+1-212-664-4602;+1-916-445-1254;+1-800-952-5210,,https://twitter.com/today,https://facebook.com/today,,,https://pinterest.com/todayshow,,https://instagram.com/todayshow,,,,,N/A - Unknown - noemail; N/A - President - noemail,New York City,NY,10112,US,14-07-2016,21-03-2022,17-10-2000,18-06-2022,-,-
tomsguide.com,tomsguide.com,$5000,,Tom's Guide,Technology And Computing,2657,5631,2113,12721,ph:+1-212-703-5800,mspoonauer@tomsguide.com;apiltch@tomsguide.com;aattkisson@tomsguide.com;scaptain@tomsguide.com;mprospero@tomsguide.com;pwagenseil@tomsguide.com;pmichaels@tomsguide.com,https://twitter.com/tomsguide,https://facebook.com/tomsguide,,,https://pinterest.com/tomsguidepurch,,https://instagram.com/tomsguide,,,,,N/A - Unknown - noemail,New York City,NY,10011,US,25-07-2017,19-06-2022,04-10-2007,19-06-2022,-,-
tomshardware.com,tomshardware.com,$5000,,Tom's Hardware,Technology And Computing,719,2818,1492,14440,ph:+1-310-558-9847;+1-866-648-2140,,https://twitter.com/tomshardware,https://facebook.com/tomshardware,,,,,https://instagram.com/tomshardware,,,https://youtube.com/user/tomshardware,,N/A - Engineering - n/a@tomshardware.com; N/A - Other - n/a@tomshardware.com; N/A - Director - n/a@tomshardware.com; N/A - Board - n/a@tomshardware.com; N/A - Manager - n/a@tomshardware.com; N/A - President - n/a@tomshardware.com; N/A - Csuite - n/a@tomshardware.com; N/A - Founder - n/a@tomshardware.com,New York City,NY,10036,US,31-10-2017,18-06-2022,03-01-2011,18-06-2022,-,California CCPA
trend-chaser.com,trend-chaser.com,$1000,,Trend Chaser,Art And Entertainment,342,590829,413492,77226,ph:,contact@trend-chaser.com;sales@trend-chaser.com;legal@trend-chaser.com,https://twitter.com/trendchasernews,https://facebook.com/trend-chaser-1762100804003272,,,https://pinterest.com/trendchaser0286,,https://instagram.com/trendchaserpage,,,,,,Encinitas,CA,92024,US,02-12-2015,03-01-2022,10-11-2015,18-06-2022,-,California CCPA
